team,elo
Archbishop Mitty A,1366.5021908503397
Branham A,962.9787516251243
Davis B,1058.7349609219948
Bellarmine B,1163.3547798802895
Escobar A,1659.4215002881176
Saratoga A,1602.7310146231878
Harker A,1276.767120666321
Bellarmine A,1706.573624292173
Davis A,1426.2949226033625
Folsom A,1276.620933186949
Guilder A,1303.0772134307401
Amador Valley A,1350.492586921118
Saratoga B,1432.2762437149097
Virgil A,1590.6110436789759
Saint Francis A,1373.0232316326976
Voltaire A,1291.9095858263152
Mira Loma A,1157.3161357687138
Stanford Online A,1492.0804372891994
Stanford Online B,1317.8531198314945
Pleasanton Scholars B,862.6190224236454
Dublin A,1039.8152306365334
Hopkins Junior A,1196.9907871557496
BASIS B,1338.1185396011674
Monta Vista A,1619.2395315400595
Silver Creek A,1299.229594265255
Davis C,1385.5729755019192
BASIS A,1368.0143580243614
Gunderson A,1450.8004555029968
Pleasanton Scholars A,1152.1840096692454
Saratoga C,1260.9057183719135
Churchill Middle A,1281.1366350175022
Harker B,1149.0201413299815
Amador Valley B,825.9283643118475
Oakland College Prep A,1478.2363140943987
Archbishop Mitty B,1193.9285886310838
Virgil B,1253.8037313190327
Mira Loma B,937.1839598887301
Eriksen A,1091.1969500783077
Saint Francis B,1304.7923193183647
Crystal Springs Uplands A,1070.835162026586
Bellarmine C,1153.951002210725
Starry Nights A,1243.082486246336
Amador Valley C,807.5301815208661
Quizbowlers A,1283.4145728494236
Starry Nights B,1161.8207951921459
Aragon A,942.9072222618947
Churchill B,1360.6328294298805
San Mateo A,1236.2836732299538
Saratoga D,916.1310172662708
Guilder B,1070.4283312389664
Aragon B,981.0096477484108
Saratoga E,972.106835023336
Monta Vista B,1326.2717294582053
San Mateo B,1056.9083314871539
Sunol Glen A,1110.1057848450946
Bellarmine D,1045.021192132439
King's Academy A,1531.3053582682444
Challenger-Almaden A,1591.3500389350397
Harker D,1139.3336306349845
Davis D,1141.2339280195256
Les Quiz A,851.796281256126
Hopkins B,920.2948729025175
Menlo-Atherton A,1078.7128627972124
Neg 5 A,1467.1903545365872
Escobar B,1152.406030891813
Saint Francis C,989.6245539301871
Harker C,1045.930748017589
Pleasanton Scholars C,907.7177998570363
Challenger-Strawberry Park A,1355.678613275534
Evergreen Valley B,826.1589869594793
Dougherty Valley B,1114.5541127849676
Homestead B,1164.9502886611162
Dougherty Valley A,954.9358955893506
Homestead A,1424.1946438912614
Evergreen Valley A,1129.2348703691077
Troy A,1023.3892013586279
Monta Vista C,1537.8632498902211
San Mateo C,941.4048314615204
Bellarmine F,1105.4392226114953
Evergreen Valley C,892.8704806325044
Voltaire B,1101.332511352247
San Marin A,1372.6065546210948
Homestead C,1180.8825785738914
Hopkins Junior B,1173.2002662438172
Folsom B,1222.51794405456
Challenger-Berryessa B,1236.440570539041
Bellarmine E,1339.5223082441219
Evergreen Valley D,864.1570116367402
The King's Academy A,1164.5003699657664
Archbishop Mitty C,1354.0334703124347
Challenger-Berryessa A,861.5728631688561
Rio Americano A,1149.8295007968327
Hopkins A,1260.1846275774788
Berkeley High A,1084.3013250573304
Vista Del Lago A,1162.8040863760102
Churchill A,1354.6149305970935
Fremont Christian A,1057.0756512013265
Vista Del Lago B,1192.8475011579055
Menlo A,1347.9516460226246
Les Quiz B,1196.5769076991958
Mitty B,1024.2382710109791
Mission San Jose A,1484.3174479146637
Mission San Jose B,1091.1433804621304
