date,season,neutral,playoff,team1,team2,elo1,elo2,elo_prob1,score1,score2,result1
0,0,0,0,Archbishop Mitty A,Davis B,1200,1200,0.5,265,165,1
0,0,0,0,Stanford Online B,Voltaire A,1200,1200,0.5,330,205,1
0,0,0,0,Virgil A,Saint Francis A,1200,1200,0.5,370,150,1
0,0,0,0,Branham A,Amador Valley A,1200,1200,0.5,295,180,1
0,0,0,0,Saratoga A,Folsom A,1200,1200,0.5,570,105,1
0,0,0,0,Harker A,Stanford Online A,1200,1200,0.5,430,260,1
0,0,0,0,Guilder A,Mira Loma A,1200,1200,0.5,450,115,1
0,0,0,0,Davis A,Bellarmine B,1200,1200,0.5,330,315,1
0,0,0,0,Escobar A,Bellarmine A,1200,1200,0.5,230,225,1
0,0,0,0,Saratoga B,Guilder A,1200,1258.171111599632,0.4170586221688724,475,220,1
0,0,0,0,Archbishop Mitty A,Escobar A,1246.1512051684126,1217.9175946922805,0.5405422286218412,345,310,1
0,0,0,0,Bellarmine B,Branham A,1172.274112777602,1247.5359019110635,0.39335251354256384,460,170,1
0,0,0,0,Folsom A,Stanford Online B,1138.5581436587436,1248.3628190695147,0.3470375759666287,265,250,1
0,0,0,0,Voltaire A,Saint Francis A,1151.6371809304853,1146.0183729848225,0.5080854097586234,385,285,1
0,0,0,0,Davis A,Amador Valley A,1227.725887222398,1152.4640980889365,0.606647486457436,465,200,1
0,0,0,0,Bellarmine A,Davis B,1182.0824053077195,1153.8487948315874,0.5405422286218412,420,120,1
0,0,0,0,Stanford Online A,Mira Loma A,1148.5833644349734,1141.828888400368,0.5097192479591809,615,100,1
0,0,0,0,Saratoga A,Virgil A,1261.4418563412564,1253.9816270151775,0.5107344833329938,455,210,1
0,0,0,0,Saratoga A,Stanford Online B,1315.1311727207553,1210.252775385348,0.6465088838582259,425,240,1
0,0,0,0,Bellarmine A,Archbishop Mitty A,1233.861424635225,1278.6634728077634,0.43587967987052717,410,235,1
0,0,0,0,Harker A,Guilder A,1251.4166355650266,1191.7649717433535,0.5850119572788021,345,315,1
